k a_k b_k p_k fp
1.000000 -2.000000 2.000000 0.000000 -1.373401
2.000000 -2.000000 0.000000 -1.000000 14.441257
3.000000 -1.000000 0.000000 -0.500000 1.863603
4.000000 -0.500000 0.000000 -0.250000 -0.359360
5.000000 -0.500000 -0.250000 -0.375000 0.548981
6.000000 -0.375000 -0.250000 -0.312500 0.051504
7.000000 -0.312500 -0.250000 -0.281250 -0.163911
8.000000 -0.312500 -0.281250 -0.296875 -0.058801
9.000000 -0.312500 -0.296875 -0.304688 -0.004311
10.000000 -0.312500 -0.304688 -0.308594 0.023430
11.000000 -0.308594 -0.304688 -0.306641 0.009518
12.000000 -0.306641 -0.304688 -0.305664 0.002593
13.000000 -0.305664 -0.304688 -0.305176 -0.000861
14.000000 -0.305664 -0.305176 -0.305420 0.000865
15.000000 -0.305420 -0.305176 -0.305298 0.000002
16.000000 -0.305298 -0.305176 -0.305237 -0.000430
17.000000 -0.305298 -0.305237 -0.305267 -0.000214
18.000000 -0.305298 -0.305267 -0.305283 -0.000106
19.000000 -0.305298 -0.305283 -0.305290 -0.000052
20.000000 -0.305298 -0.305290 -0.305294 -0.000025
21.000000 -0.305298 -0.305294 -0.305296 -0.000012
22.000000 -0.305298 -0.305296 -0.305297 -0.000005
23.000000 -0.305298 -0.305297 -0.305297 -0.000002
24.000000 -0.305298 -0.305297 -0.305298 0.000000
25.000000 -0.305298 -0.305297 -0.305297 -0.000001
26.000000 -0.305298 -0.305297 -0.305298 -0.000000
27.000000 -0.305298 -0.305298 -0.305298 0.000000
28.000000 -0.305298 -0.305298 -0.305298 -0.000000
29.000000 -0.305298 -0.305298 -0.305298 -0.000000
30.000000 -0.305298 -0.305298 -0.305298 -0.000000
31.000000 -0.305298 -0.305298 -0.305298 -0.000000
32.000000 -0.305298 -0.305298 -0.305298 -0.000000
33.000000 -0.305298 -0.305298 -0.305298 -0.000000
34.000000 -0.305298 -0.305298 -0.305298 -0.000000
35.000000 -0.305298 -0.305298 -0.305298 -0.000000
36.000000 -0.305298 -0.305298 -0.305298 -0.000000
37.000000 -0.305298 -0.305298 -0.305298 -0.000000
38.000000 -0.305298 -0.305298 -0.305298 -0.000000
39.000000 -0.305298 -0.305298 -0.305298 -0.000000
40.000000 -0.305298 -0.305298 -0.305298 -0.000000
41.000000 -0.305298 -0.305298 -0.305298 -0.000000
42.000000 -0.305298 -0.305298 -0.305298 -0.000000
43.000000 -0.305298 -0.305298 -0.305298 -0.000000
44.000000 -0.305298 -0.305298 -0.305298 -0.000000
45.000000 -0.305298 -0.305298 -0.305298 -0.000000
46.000000 -0.305298 -0.305298 -0.305298 -0.000000
47.000000 -0.305298 -0.305298 -0.305298 -0.000000
48.000000 -0.305298 -0.305298 -0.305298 -0.000000
49.000000 -0.305298 -0.305298 -0.305298 -0.000000
50.000000 -0.305298 -0.305298 -0.305298 -0.000000
51.000000 -0.305298 -0.305298 -0.305298 -0.000000
52.000000 -0.305298 -0.305298 -0.305298 -0.000000
